被	LB
后人	NN
称为	VV
钢琴	NN
诗人	NN
有一天	AD
，	PU
她	PN
跟	P
我	PN
说	VV
八根	NR
，	PU
我	PN
可以	VV
要	VV
一	CD
根	M
嘛	SP
？	PU
可是	AD
我	PN
想	VV
，	PU
妈妈	NN
应该	VV
还是	AD
一样	VA
漂亮	VA
吧	SP
里面	NN
的	DEG
钢琴	NN
要	VV
不	AD
要	VV
搬啊	VV
？	PU
小雨	NN
！	PU
妳	NN
已经	AD
爱上	VV
我	PN
可是	AD
毕业	NN
典礼	NN
那	DT
一	CD
天	M
那	PN
是	VC
1979年	NT
大家	PN
知道	VV
他	PN
的	DEG
绰号	NN
是	VC
什么	PN
吗	SP
？	PU
他	PN
走	VV
了	AS
啦	SP
那	AD
接下来	AD
要	VV
讨论	VV
的	SP
好了	AD
，	PU
回去	VV
上课	VV
了	SP
我	PN
回去	VV
都	AD
弹	VV
那么	AD
快	VA
啊	SP
没有	VE
-	PU
@	PU
THE	DT
END	NN
@	PU
-	PU
这	DT
张	M
专辑	NN
你	PN
不	AD
是	VC
早	AD
就	AD
有	VE
了	AS
吗	SP
？	PU
回来	VV
啰	VV
？	PU
我	PN
告诉	VV
你	PN
，	PU
你	PN
给	P
我	PN
小心	VV
一点	CD
哪个	PN
？	PU
其实	AD
每	DT
年	M
到	VV
了	AS
这个	DT
时候	NN
好	VA
，	PU
谢谢	VV
用	P
月色	NN
下	LC
的	DEG
柔情	NN
爱妳	NN
那么	AD
坏	VA
啊	SP
（	PU
你	PN
爱	VV
我	PN
吗	SP
？	PU
）	PU
我们	PN
已经	AD
坐了	VV
好久啰	NN
都	AD
喜欢	VV
啊	SP
谢谢	VV
我们	PN
是	VC
橄榄球队	VV
的	SP
在	P
教室	NN
等我	VV
拜拜	NN
小心	VV
骑	VV
啊	SP
！	PU
帮我	NN
跟	CC
小雨	NN
拍	VV
一	CD
张	M
啊	SP
！	PU
这样	AD
我	PN
很	AD
为难	VA
你们	PN
不错	VA
，	PU
我们	PN
班	NN
女生	NN
还	AD
来	VV
找	VV
你	PN
签名	VV
我	PN
就	AD
给	P
他	PN
两	CD
巴	NR
掌	VV
这么	AD
简单	VA
的	DEC
问题	NN
，	PU
感冒	NN
的	DEG
一	CD
种	M
！	PU
好	VA
，	PU
来	VV
，	PU
第三	OD
题	NN
你们	PN
学校	NN
比较	AD
漂亮	VA
啊	SP
（	PU
我	PN
是	VC
小雨	NN
）	PU
那	PN
是	VC
因为	P
他	PN
的	DEG
作品	NN
是	VC
真的	AD
假的	VV
？	PU
男子汉	NN
像	P
山	NN
般	VA
的	DEC
二头肌	NN
是	VC
啦	SP
可能	AD
是	VC
我	PN
弹太	NN
快了	NN
雨	NN
豪	VA
加油	VV
…	PU
钢琴	NN
王子	NN
要	VV
不	AD
要	VV
我	PN
顺路	AD
送	VV
你	PN
？	PU
什么	DT
时候	NN
啊	SP
？	PU
表演	NN
穿越	VV
时空	NN
喔	SP
？	PU
这	DT
孩子	NN
不	AD
知道	VV
又	AD
跑去	VV
哪	PN
了	SP
干嘛	VV
？	PU
怎么	AD
只有	CS
你	PN
一	CD
个	M
人	NN
？	PU
或许	AD
有	VE
一	CD
天	M
我	PN
会	VV
告诉	VV
你吧	NN
是	VC
啊	SP
找谁	VV
啊	SP
？	PU
妹	NN
那么	AD
多	VA
，	PU
走	VV
了	AS
啊	SP
！	PU
他们	PN
班	NN
是	VC
怎样	PN
？	PU
这	PN
跟	P
苹果	NN
有	VE
什么	DT
关系	NN
啊	SP
？	PU
不是	CC
到	VV
我家啦	NN
，	PU
快点	VV
来	VV
前面	NN
示范	VV
一下	AD
是	VC
切点	NN
与	CC
切线	NN
的	DEG
公式	NN
你	PN
刚刚	AD
在	P
我们	PN
班	NN
有	VE
看到	VV
一	CD
个	M
女的	NN
吗	SP
？	PU
正	AD
呀	SP
…	PU
也	AD
不	AD
会	VV
有	VE
人	NN
是	VC
他	PN
的	DEG
对手	NN
（	PU
你	PN
在	P
20	CD
年	M
后	LC
失身	VV
了	AS
吗	SP
？	PU
）	PU
真的	VA
吗	SP
？	PU
因为	P
我	PN
喜欢	VV
你	PN
的	DEG
背影	NN
啊	SP
那	AD
你	PN
喜欢	VV
晴天	NN
还	AD
是	VC
雨天	NN
？	PU
男子汉	NN
就	AD
是	VC
我	PN
你	PN
觉得	VV
晴	VA
依	P
都	AD
会	VV
去	VV
那边	PN
弹	VV
是	VC
厉害	VA
小伦	NR
？	PU
现在	NT
已经	AD
两	CD
个	M
礼拜	NN
你	PN
不	AD
要	VV
吵	VV
啦	SP
，	PU
我	PN
一	CD
个	M
人	NN
静	VV
一	CD
静	VV
我的脸	NN
都	AD
给	VV
你	PN
丢光	VV
了	SP
！	PU
我们	PN
再	AD
给	P
两	CD
位	M
一	CD
次	M
热烈	JJ
的	DEG
掌声	NN
所以	AD
你	PN
不用	AD
太	AD
担心	VV
年轻人	NN
要	VV
多听	VV
音乐	NN
，	PU
才	AD
不	AD
会	VV
胡思乱想	VV
你	PN
知道	VV
老爸	NN
听	VV
音乐	NN
几十年	NN
你	PN
管我	VV
？	PU
反正	AD
苹果	NN
这么	AD
多	CD
喔	SP
！	PU
还	AD
好啦	VA
小雨	NN
！	PU
我	PN
希望	VV
你	PN
可以	VV
一起	AD
来	VV
参加	VV
，	PU
好吗	NN
？	PU
下	DT
一	CD
间	M
毕业	NN
典礼	NN
走	VV
了	AS
啦	SP
！	PU
一百	CD
年	M
啦	SP
？	PU
真的	VA
吗	SP
？	PU
好吧	VA
老师	NN
当然	AD
相信	VV
小雨	NN
哪有	VV
在	P
干	VV
这个	DT
的	DEG
？	PU
我	PN
坚持	VV
男子	NN
汉	NR
的	DEG
背影	NN
一起	AD
来	VV
啊	SP
！	PU
我	PN
也	AD
不	AD
像	P
你	PN
朋友	NN
啊	SP
不要	AD
闹了	VV
，	PU
你	PN
自己	PN
说	VV
只	AD
借	VV
三	CD
天	M
而已	AD
有	VE
啊	SP
，	PU
我	PN
买给	VV
你	PN
吃	VV
的	SP
啊	SP
要不要	AD
