Little Door Gods	小門神
A Bite of China: Celebrating the Chinese New Year	舌尖上的新年
Strange Battle	荒村怨靈
The Secret	控制
Royal Treasure	極限挑戰之皇家寶藏
Love Godfathers	戀愛教父之三個壞傢伙
Chinese Wine	國酒
I'm Handsome	我很帥
Boonie Bears III	熊出沒之熊心歸來
Inside or Outside	真相禁區
The Family Running Forward	一家老小向前沖
Love in Late Autumn	愛在深秋
The Big Lie Bang	謊言大爆炸
Please Open Your Window	請把你的窗戶打開
The Apparition	幻影
Dad, I Will Rescue You	爸爸我來救你了
House Of Wolves	惡人谷
Fruity Robo The Great Escape	果寶特攻之水果第三集中營
The Ape Story	猿創世界之熊孩子部落
My Friends	我的「狐朋狗友」
For Love	致我們終將到來的愛情
Youth in the Air Outlet	風口青春
Lost in the Pacific	蒸發太平洋
Out of Ordinary	非同小可
The New Year's Eve of Old Lee	過年好
Mermaid	我的人魚女友
The Monkey King 2	西遊記之孫悟空三打白骨精
From Vegas to Macau III	賭城風雲III
Mr. Nian	年獸大作戰
Run for Love	奔愛
Kill Time	謀殺似水年華
Mr. Highheels	高跟鞋先生
Crouching Tiger, Hidden Dragon: Sword of Destiny	臥虎藏龍：青冥寶劍
The Frog Kingdom 2: Sub-Zero Mission	青蛙王國之冰凍大冒險
The Game	致命怪談
Money and Love	恭喜發財之談錢說愛
When We Were Young	不朽的時光
The Weird Doll	詭娃
Kick Ass Girls	爆3俏嬌娃
Ip Man 3	葉問3
You Really Are My Lover	你是不是我的愛人
Spicy hot in love	愛情麻辣燙之情定終身
She Remembers, He Forgets	哪一天我們會飛
Judge Archer	箭士柳白猿
Wang Mao	我不是王毛
Guia in Love	燈塔下的戀人
Love Studio	同城邂逅
Under The Bed 3	床下有人3
Don't Run the Thief	笨賊別跑
Dumb Child	啞孩兒
Wong Ka Yan	王家欣
The Rise of a Tomboy	女漢子真愛公式
Red Cheongsam	恐怖禁忌之紅旗袍
Papa	洛杉磯搗蛋計劃
Road to the Sky	情比山高
Girls Generation	半熟少女
Fear Is Coming	恐怖將映
Easy Life	喜樂長安
Hui Xiang Dou	回鄉逗兒
The White-haired Girl	白毛女
One Night of Fate	一夜危機
The Bodyguard	特工爺爺
The Guest	神秘訪客
Who Sleeps My Bro	睡在我上鋪的兄弟
Chongqing Hot Pot	火鍋英雄
Xuan Yuan the Great Emperor	軒轅大帝
Space Panda	太空熊貓歷險記
My Wife is a Superstar	我老婆是明星
Midnight Record Search	午夜尋訪錄
The Little	小角色
Ghost Neighbor	隔壁驚魂
Mother's Revenge	貓臉老太太
The Deadly Reasoning	奪命推理
New York New York	紐約紐約
Lost In White	冰河追兇
My New Sassy Girl	我的新野蠻女友
Yesterday Once More	誰的青春不迷茫
Buddy Cops	刑警兄弟
My Ten Million	我的1000萬
Insomnia Lover	失眠男女
Music And Dream	恐怖照相機
Goodess Era	女神時代
Finding Mr. Right 2	北京遇上西雅圖之不二情書
Xuan Zang	大唐玄奘
MBA Partners	夢想合伙人
Phantom of the Theatre	魔宮魅影
Ma Xiaole and His Toys	馬小樂之玩具也瘋狂
Adventure of Frog	青蛙總動員
Alibaba 2 solomon seal	阿里巴巴2所羅門封印
Wind Chimes On The Card	風鈴上的卡片
Song of the Phoenix	百鳥朝鳳
Bujilan	布基蘭
Sentence Me Guilty	判我有罪
God’s Hug	男神抱抱
Heaven of Nestling	雛鳥的天空
Distance	再見，在也不見
Don't Open The Door	別開門
Bloody House	筆仙詭影
22nd Catch	22個男人
