Miss Julie	茱莉小姐
Bread of Happiness	幸福的麵包
Peter Rabbit	彼得兔
Eden	巴黎電幻世代
Berlin Syndrome	顫慄柏林
52Hz, I love you	52赫茲,我愛你
They Call Me Jeeg	叫我鋼鐵俠
Black & White Episode 1: The Dawn of Assault	痞子英雄首部曲
Muoi : The Legend of a Portrait	替屍鬼
The Players	偷情大丈夫
Paper Castles	愛同窗愛同床
Saw VII 3D	奪魂鋸
The Boss Baby	寶貝老闆
Ava	那年夏天的微光
Irrational Man	愛情失控點
Rainbow Song	電影情人夢
First Girl I Loved	初戀上女孩
Monster Trucks	怪獸卡車
Magnifica Presenza	亮演人生
Dead Awake	夢魔纏身
Shock Wave	拆彈專家
The Adventures of Tintin: Secret of the Unicorn	丁丁歷險記
The Deaths of Ian Stone	獵殺死神
The Spiritual World	屍魂落魄
Crows - Episode 0	漂丿男子漢
Brick Mansions	玩命特區
Crazy Racer	瘋狂的賽車
Leviathan	纏繞之蛇
Neighborhood Watch	巡邏驚很大
The Circle	直播風暴
Tea Fight	鬪茶
Our Time Will Come	明月幾時有
The Past	咎愛
The moment you fall in love	喜歡上你的那瞬間
Saw: Legacy	奪魂鋸8
Pieta	聖殤
Avenue Montaigne	巴黎不打烊
Amityville: The Awakening	陰宅2
Detective Conan: The Eleventh Stricker	名偵探柯南16
R2B：Return to Base	R2B:獵鷹行動
Souvenir	伴手禮
A Beautiful Star	美麗之星
Melody's Smile	微笑標本
Incendies	烈火焚身
Hannibal Rising	人魔
A Single Man	摯愛無盡
What Happened To Monday	獵殺星期一
I, Tonya	老娘叫譚雅
Horns	魔角
Ghost coins	死人錢
My One and Only	只愛多金男
The Last Days on Mars	星際禁區
The Chronicles of Narnia:	納尼亞傳奇3
52 Tuesdays	52個星期二
War Dance	烏干達天空下
Oculus	鬼遮眼
R.I.P.D.	降魔戰警
Pick the Youth	皮克青春
The Golden Era	黃金時代
殭屍哪有那麼帥?	殭屍哪有這麼帥?
Chasing The Drangon	追龍
Strangrland	陌生之地
My Words, My Lies - My Love	愛情謊言
Saw IV	奪魂鋸4
The Homesman	逃離邊境
映画ドラえもん　のび太の新魔界大冒険∼７人の魔法使い∼	大雄的新魔界大冒險
Winter Sleep	冬日甦醒
Bunny Drop	白兔玩偶
Snow White	名模神采
カイジ ∼人生逆転ゲーム∼	賭博默示錄
Kedi	愛貓之城
The Secert of Loch Ness	尼斯湖水怪傳說
K-20 怪人二十面相・伝	K-20:怪人二十面相
Gabriel’s Voice	來自天堂的音符
Day And Night	日夜激情
For More Sun II	夢想續航
Bridge to Terabithia	尋找夢奇地
Men in Black III	MIB星際戰警3
Ricky	讓愛飛起來
In the House	登堂入室
Masquerade	雙面君王
Life after Beth	殭屍哪有這麼正
Deadpool 2	死侍2
Mortal Engines	移動城市:致命引擎
Bitter Harvest	烏克蘭悲歌
Something in the air	五月風暴
Photo Album of the Village	村之寫真集
...and LOVE	與愛
Bangkok Knockout	玩命KO
Blitz	私法制裁
Colic	卡到
Lost in Paradise	你是天堂愛是地獄
Poetry	生命之詩
Legend of Chinese Titans	封神傳奇
Precious	珍愛人生
An Inconvenient Sequel: Truth to Power	不願面對的真相2
Renegades	潛龍突擊隊
I Am Legend	我是傳奇
Meet the Fockers	門當父不對3
Tiger House	顫慄屋
Due West	一路向西
My King	我心深愛的國王
Enemy	雙面危敵
9 Songs	九歌
Bad Grandpa	無厘取鬧:祖孫卡好
The Descendants	繼承人生
The Boys Are Back	型男親情日記
The Eternal Zero	永遠的0
Nine	華麗年代
Rabbit Horror 3D	怨靈
Dynamite Warrior	功夫拳霸
47 Meters Down	深海鯊機
Shrew’s Nest	凌刑密密縫
The Bird Who Save The World	什麼鳥日子
クローズＺＥＲＯ II	漂丿男子漢2
Julie & Julia	美味關係
Dangal	我和我的冠軍女兒
3AM 3D Part 2	鬼三驚2
カメレオン	變色龍
Stronger	你是我的勇氣
Terminator: Genesis	魔鬼終結者5
Mandela: Long Walk to Freedom	曼德拉:漫漫自由路
X-Men: The New Mutants	變種人
9-9-81	陰緣
Someone You Love	最靠近心的距離
I Can Speak	花漾奶奶秀英文
The Coffin	棺材
The Days of Noah 2: Apocalypse	挪亞方舟驚世啟示2
Missing	謎屍
Kepong Gangster	甲洞
Love Songs	巴黎小情歌
Feast of Love	愛情盛宴
自虐の詩	自虐之詩
怪談	色凶怪談
Overdrive	盜速飛車
Blowflish	河豚
Miao Miao	渺渺
Haywire	即刻反擊
Alita: Battle Angel	艾莉塔:戰鬥天使
The Immigrant	浮世傷痕
1408	1408
Manglehorn	梅格漢的心靈鑰匙
Home Again	愛情齡距離
母べえ	X檔案:母親
The Promise	屍約
I Have to Buy New Shoes	巴黎鞋奏曲
My Sister, My Love	妹妹戀人
Vanishing on 7th Street	消失在第七大街
Lost in Beijing	蘋果
Confession of Murder	我是殺人犯
Winter's Bone	冰封之心
Cloudy with a Chance of Meatballs	食破天驚
Blue is the Warmest Color	藍色是最溫暖的顏色
Finding Sayun	不一樣的月光
Architecture 101	初戀築夢101
Sword Art Online the Movie: Ordinal Scale	刀劍神域劇場版－序列爭戰
Her Love Boils Bathwater	幸福湯屋
Spanish Movie	傻瓜大進擊
Phobia	鬼4虐
The Babadook	鬼敲門
The Last Painting	自畫像
Rise of the Legend	黃飛鴻之英雄有夢
The Possession of Emma Evans	惡靈附體
Tale of Tales	異色童話集
Peak: The Rescuers	岳：冰峰救援
War Machine	戰爭機器
National Treasure 2	國家寶藏2
Night Flight	愛,不怕
Wedding Daze	先婚後友
Carnage	今晚誰當家
7500	7500鬼航班
The Last Mistress	情慾二重奏
PK	來自星星的傻瓜
The Battleship Island	軍艦島
Song to Song	為妳唱的歌
Unlocked	全面封鎖
Harmony	美麗的聲音
Make Room	A片現場不NG
Secret	不能說的秘密
The Greatest Showman	大娛樂家
Spring Fever	春風沉醉的夜晚
Children Who Chase Lost Voices from Deep Below	追逐繁星的孩子
Before I Fall	還有機會說再見
Platinum Data	白金數據
Town Creek	鬼哭人嚎
Paranormal Activity: Tokyo Night	靈動2:東京實錄
We are What we are	屍房宴
The Incite Mill	七日死亡遊戲
The Belko Experiment	辦公室大狂殺
Hotaru the Movie: It's Only a Little Light in My Life	魚干女又怎樣
Four	鬼4厲
Juno	鴻孕當頭
Baby Driver	玩命再劫
Talaash	大搜索
Alone	連體陰
Dorothy Mills	附身
Knight of Cups	聖杯騎士
Holy Motors	花都魅影
Story of Taipei	台北物語
Sex & Chopsticks	金瓶梅
Kung-Fu Yoga	功夫瑜伽
Retribution	叫魂
Fist & Faith	青禾男高
Bittersweet	愛上有機男
Live Free or Die Hard	終極警探4
Point Blank	活命條件
Jack Ryan	傑克萊恩
The Romantics	浪漫愛婚頭
You Won’t Get to Live Twice	三個大丈夫
Saturno contro	熾愛
In a Better World	更好的世界
Detectivecconan：Sunflowes Of Inferno	名偵探柯南19
Des illusions	日落前與妳相遇
Timbuktu	在地圖結束的地方
Jump Ashin！	翻滾吧！阿信
Girls Trip	閨蜜假期
Dalida	絕代天后黛莉達
Men in the city 2	熱戀攻心
Forever Enthralled	梅蘭芳
No Reservations	料理絕配
The Fifth Element	第五元素
The Boss of It All	老闆我最大
Henry Poole is Here	上帝在我家
Were the World Mine	世界屬於我們
Tomb Raider	古墓奇兵
Jackie	第一夫人的秘密
Journey to the West: Conquering the Demons	西遊：降魔篇
A Dog's Purpose	為了與你相遇
Beyond Skyline	天劫:救贖之戰
Vampire Cleanup Department	救殭清道夫
Pay The Ghost	邪尋
The Fourth Portrait	第四張畫
Beauty and the Beast	新美女與野獸
Coco	可可夜總會
Goodbye Berlin	再見柏林
Exit Marrakech	流浪摩洛哥
Submarino	傷心潛水艇
The Last Face	戰地情
デトロイト・メタル・シティ	重金搖滾雙面人
White Lily	白百合之戀
シャカリキ！	鐵馬頑童
Silk	異旅情絲
WuKong	悟空傳
The Emoji Movie	表情符號電影
The Bar	抓狂酒吧
The Complex	黑百合公寓
Shao Lin	新少林寺
Ice kacang puppy love	初戀紅豆冰
The Man From U.N.C.L.E.	紳士密令
Insidious 4: The Last Key	陰兒房第4章
Smurfs: The Lost Village	藍色小精靈3
Rudolf the Black Cat	黑貓魯道夫
Vinodentro	魔鬼品酒師
The Ledge	窗台危機
Center of My World	我的觸男日記
Fantastic Four: Rise of The Silver Surfer	驚奇四超人2
Jurassic Park 3D	侏羅紀公園3D
A Walk in the Woods	別跟山過不去
A Quiet Place	噤界
Winds of September	九降風
Night Train to Lisbon	里斯本夜車
Her	雲端情人
Space Brothers	宇宙兄弟
The Book of Revelation	肉體性追緝
Microbe & Gasoline	青春冒險王
Vitus	想飛的鋼琴少年
Tiny Times	小時代
The Queen of Spain	天后開麥拉
Detective Dee	通天神探狄仁傑
Red Sparrow	紅雀
The Ghost Must Be Crazy	鬼也笑
Ocean Butterfly	蝴蝶魚
The Sinking City	西謊極落
The Tempests of First Love	初戀風暴
名探偵コナン漆黒の追跡者	名偵探柯南13
Ghost Rider: Spirit of Vengeance	惡靈戰警2
White Elephant	白象:無法之城
The Experiment	叛獄風雲
The Witnesses	愛滋味
The Second Chance	帶ㄙㄞˋ男朋友
The Hurt Locker	危機倒數
Bodybuilder	重量教育
Les aventures extraordinaires d'Adèle Blanc-Sec	神鬼驚奇
ハンサム★スーツ	帥哥西裝
The Tall Man	巨魔人
S.P.L.2	殺破狼2
Salmon Fishing in the Yemen	飄洋過海愛上妳
President	總統
Get Out	逃出絕命鎮
Attack on Titan：End of the World	進擊的巨人2
The Bad Lieutenant: Port of Call New Orleans	爆裂警官
The Apology King	謝罪大王
Le Week-End	愛在巴黎破曉時
Attraction	異星引力
A story about banana	香蕉傳奇
Cape No.7	海角七號
A.P.T	詭公寓
The Lego Ninjago Movie	樂高炫風忍者電影
Tomorrow I Will Date with Yesterday's You	明天，我要和昨天的妳約會
120 Beats Per Minute	120拍的節奏
Sister Smile	修女愛唱歌
映画ドラえもん　のび太と緑の巨人伝	大雄與綠巨人傳
Cash	至尊對決
Noriko's Dinner Table	紀子出租中
Beloved Sisters	二姊妹的情人
Empire State	帝國警戒
The Shape of Water	水底情深
Hearty Paws	伴我走天涯
What If	好友戀習簿
The Tale of the Princess Kaguya	輝耀姬物語
Taichi 0	太極
Battle of the Sexes	勝負反手拍
Bangkok Love Story	曼谷愛情故事
After the Wedding	婚禮之後
Red Road	紅路
Sector 7	7號禁地3D
The Third Half	人生勝利組
Comedy makes you cry	拍賣春天
20th Century Boys 3: Our Flag	20世紀少年3
Redline	超時空甩尾
西遊記之大鬧天宮	西遊記之大鬧天宮
The Survival Family	生存家族
Tarzan	泰山
Need For Speed	極速快感
Savage Grace	浮華陷阱
Rabbit Without Ears 2	沒有耳朵的兔子2
2002 The Unborn Child	鬼嬰廟
In His Chart 2	神的病歷簿2
Zombeavers	狸老屍卡好
The Bling Ring	星光大盜
Hummingbird	夜刑者
Stories We Tell	莎拉波莉家庭詩篇
Furious 8	玩命關頭8
3 Idiots	三個傻瓜
Margin Call	黑心交易員的告白
Albert Nobbs	變裝男侍
Back on Track	最後的馬拉松
Don't Knock Twice	別敲兩次門
Pecoross’ Mother And Her Days	去看小洋蔥媽媽
Fracture	破綻
Stranger by the Lake	湖畔春光
Dead Snow 2: Red vs. Dead	冰血奇緣
Tekkonkinkreet	惡童當街
The Ravine of Goodbye	再見溪谷
The Futute X-Cops	未來警察
Heartbeats	舞動心跳
Night of a 1000 Hours	風水逝家
Step Up All In	舞力全開5
Duckweed	乘風破浪
Hanky Panky	大釣哥
The Mysterous Family	神秘家族
Avengers: Infinity War	復仇者聯盟3
Winchester	溫徹斯特鬼屋
孤高のメス	孤高的手術刀
未來預想圖	未來預想圖
28 Weeks Later	28週毀滅倒數
Pirates of the Caribbean: Dead Men Tell No Tales	神鬼奇航5
Carrie Pilby	哈佛沒教的幸福課
Piranha 3-D	3D食人魚
Attack On Titan	進擊的巨人
Beyond the Walls	我們的幸福時光
Frozen River	冰原之心
One Piece Movie 3D Mugiwara Chase	航海王3D
Paradox	殺破狼•貪狼
Sex and the City: The Movie	慾望城市電影版
Of Gods and Men	人神之間
Kon-Tiki	康提基號
Old Dogs	歐吉桑卡好
NARA：奈良美智との旅の記録	跟著奈良美智去旅行
The Ghost Rituals	盂蘭神功
child 44	第44個孩子
Citizenfour	第四公民
Mood Indigo	泡沫人生
Clash	衝突的一天
Make Me Shudder 3	這個高中沒有鬼3
Ondine	情陷美人魚
Miss Sloane	攻敵必救
Hermano	你是我兄弟
Parasyte Part 1	寄生獸1
Full Speed	一路不順風
Fireworks, Should We See It from the Side or the Bottom?	煙花
Miss Meadows	甜心殺手
The Black Balloon	吾愛無悔
Young And Beautiful	美麗．誘惑
The World in Two Round Trips	小人物征服大世界
The Edge of Heaven	天堂邊緣
Lemon Tree	檸檬樹
The Evil in Us	命屍樂園
Chinese Puzzle	紐約愛情拼圖
Human Capital	人命大富翁
Roommate	我的恐怖室友
The intruder	蛇降
Frantz	雙面法蘭茲
ぼくたちと駐在さんの700日戦争	我和條子的700天戰爭
