The Ten	哈啦十誡
Pride	同志驕傲大遊行
Gifted	天才的禮物
You're Next	下一秒就是你
Humpday	G片初體驗
Adam	亞當不好當
Genius	天才柏金斯
The Hateful Eight	八
One Last Thing...	最後的願望
Modigliani	燃情狂愛
Trainwreck	肉食女之戀
Match Point	愛情決勝點
Annie	安妮
Sicko	健保真要命
The Perfect Guy	完美情狼
Hector and the search for happiness	尋找快樂的15種方法
Derailed	玩火
Coco	可可夜總會
Oslo, 31. august	八月三十一日,我在奧斯陸
The Notorious Bettie Page	寫真女王
Shooter	狙擊生死線
Georgia Rule	情規喬治亞
Black Souls	教父啟示錄
Must Love Dogs	愛狗男人請來電
Alvin and the Chipmunks	鼠來寶
Mr. Holmes	福爾摩斯先生
Sydney White	白雪新鮮人
Gangster Squad	風雲男人幫
Cloudy With a Chance of Meatballs 2	食破天驚2
Win Win	幸福雙贏
The Mummy: Tomb of the Dragon Emperor	神鬼傳奇3
On a Clear Day	澄澈的一天
Texas Killing Fields	德州棄屍現場
The Promotion	職場爭霸戰
Inherent Vice	性本惡
Pacific Rim: Uprising	環太平洋2
The Grey	即刻獵殺
Eagle Eye	鷹眼
Nebraska	內布拉斯加
The Beaver	海狸先生
The Wild	野蠻任務
Hotel for Dogs	狗狗旅館
The 40-Year-Old Virgin	40處男
A Good Old Fashioned Orgy	雜交有益身心
Letters to Father Jacob	給雅各神父的信
Why Him?	惱爸偏頭痛
August	八月錢潮
War Machine	戰爭機器
The Last Exorcism Part II	最後大法師2
Cheaper by the Dozen 2	二十四笑
Machuca	那年陽光燦爛
On the Road	浪蕩世代
Dark Skies	幽浮檔案
The LEGO Movie	樂高玩電影
Double Trouble	寶島雙雄
Branded	莫斯科2017
White God	忠犬追殺令
The World's End	末日
Pawn Sacrifice	出棋制勝
The Amazing Spider-Man	蜘蛛人:驚奇再起
Ouija	碟仙
Yes	黎巴嫩情人
Cloud Atlas	雲圖
American Pastoral	美國心風暴
Resident Evil: Afterlife	惡靈古堡4
Munich	慕尼黑
Peter Rabbit	得兔
Angry Birds	憤怒鳥
Lights in the Dusk	薄暮之光
The Cave	異底洞
Step Up 3D	舞力全開3D
Trick 'r Treat	不給糖就殺人
Grudge Match	進擊的大佬
Maze Runner: The Death Cure	移動迷宮3
Hamlet 2	哈姆雷特2
The Skeleton Key	毒鑰
Beauty Shop	哈啦美髮師
Collide	玩命撞擊
Mister Foe	在屋頂上流浪
The Gallows	絞刑台
The Fourth Kind	第四類接觸
Isle of Dogs	犬之島
Battle of the Year	世界Battle
The Tree of Life	永生樹
Duck Season	友情電力公司
Are We There Yet?	小鬼上路
What Doesn't Kill You	好漢不死
Disney's A Christmas Carol	聖誕夜怪譚
Jeepers Creepers 3: Cathedral	毛骨悚然3
Power Rangers	金剛戰士
Mission: Impossible 3	不可能的任務3
Ballerina	芭蕾奇緣
The Hunting Party	腥聞
The Losers	敗者為王
A Guide to Recognizing Your Saints	放下屠刀
The Host	宿主
Mark Felt: The Man Who Brought Down the White House	推倒白宮的男人
Bandslam	搖滾未來
Personal Shopper	私人採購
Enron: The Smartest Guys in the Room	安隆風暴
Unbroken	永不屈服
The Longest Yard	鐵男橄欖球
Return to Sender	控制遊戲
Where the Truth Lies	真相何在
Spy Kids: All the Time in the World	小鬼大間諜4
13 Hours: The Secret Soldiers of Benghazi	13小時
Wrath of the Titans	超世紀封神榜2
Special ID	特殊身份
The Woman in Black: Angel of Death	顫慄黑影2
The Green Hornet	青蜂俠
Captivity	窒命寫真
Cashback	超級賣場
Ice Princess	冰公主
Paris	巴黎愛情故事
The Maze Runner: The Scorch Trials	移動迷宮2:焦土試煉
The Dark Is Rising	黑紀元
Breathe	我要為你呼吸
Resident Evil: The Final Chapter	惡靈古堡6
Love in the Time of Cholera	愛在瘟疫蔓延時
活見鬼	活見鬼
The Blind Side	攻其不備
Wonder	奇蹟男孩
Running With Scissors	剪刀邊緣
Money Monster	金錢怪獸
Tucker & Dale vs. Evil	大學生殺了沒
New York, I Love You	紐約我愛你
The Rocker	搖滾青春夢
The Collector	蒐藏人
Sing Street	搖滾青春戀習曲
High School Musical 3: Senior Year	歌舞青春3
The Tribe	過於寂靜的喧囂
21	決勝21點
Into the Wild	阿拉斯加之死
Planes	飛機總動員
The Hunger Games: Catching Fire	飢餓遊戲2
Red Sparrow	紅雀
Filth	下流刑警
Non-Stop	空中救援
Little White Lies	愛謎藏
Creed	金牌拳手
Two Night Stand	暴雪二夜情
Fame	名揚四海
Standing Still	明天也要作伴
The Great Beauty	絕美之城
A Very Harold & Kumar Christmas	豬頭漢堡飽3D
Transporter 2	玩命快遞2
Shoot 'Em Up	火線保鑣
Get Rich or Die Tryin'	要錢不要命
The Departed	神鬼無間
Hannah Montana The Movie	孟漢娜電影版
Wolves	狼人鎮
The Oh in Ohio	俄亥俄的哦
Winchester	溫徹斯特鬼屋
Akeelah and the Bee	拼出新世界
Outsourced	世界是平的
Kung Fu Panda 2	功夫熊貓2
Black Swan	黑天鵝
The Grand Seduction	誘惑醫生100招
Sherlock Holmes 2	福爾摩斯2
Shrek the Third	史瑞克三世
The East	東方聯盟
House of Wax	恐佈蠟像館
Simon Killer	巴黎自由行
Reno 911!: Miami	邁阿密瘋雲
Apartment 143	鬼寓143
Vacancy	針孔旅社
Snow White and the Huntsman	公主與狩獵者
The Family Stone	婆家就是你家
Eden Lake	獵人遊戲
Into the Fire	風暴過後
The Witch	巫氣逼人
Crash	衝擊效應
Rams	羊男的冰島冒險
Ice Age: Collision Course	冰原歷險記5
The Kings of Summer	夏日之王
Ninja Turtles	忍者龜
Beasts of the Southern Wild	南方野獸樂園
The Queen	女王陛下
Saint Ralph	神奇馬拉松
Fred Claus	聖誕
Le Havre	溫心港灣
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert Tour	孟漢娜3D演唱會
Passengers	星際過客
The Mechanic	極速秒殺
Thor: Ragnarok	雷神索爾3
The Amateurs	A片特攻隊
Elysium	極樂世界
National Treasure 2	國家寶藏2
1408	1408
Bobby	五星級謀殺
Toy Story 3	玩具總動員3
Daddy's Home 2	家有兩個爸2
Imaginary Heroes	心碎天堂
Rise of the Guardians	捍衛聯盟
X戰警: 未來昔日	X戰警:未來昔日
Slow West	槍響前決定愛不愛你
The Company You Keep	夥伴
Prom	畢業舞會
Conan the Barbarian	王者之劍3D
Tony Takitani	東尼瀧谷
Happy Feet Two	快樂腳2
Call Me by Your Name	以你的名字呼喚我
50/50	活個痛快
1911	1911辛亥革命
Daltry Calhoun	草地上的男人
I Spit on Your Grave	我唾棄你的墳墓
The Beautiful Country	美麗新故鄉
Meet the Robinsons	未來小子
Jupiter Ascending	朱比特崛起
Remember	我記得
Knowing	末日預言
Boy A	頭號男孩
Zero Dark Thirty	0501斬首密令
Cheap Thrills	絕命賭局
Ghostbusters	魔鬼剋星
An Unfinished Life	待續
