Mobile Hospital	橫山號
Girls 2	閨蜜2
The Disaster Artist	大災難家
The Florida Project	歡迎光臨奇幻城堡
Wind Blast	西風烈
You Are My Sassy Girl	我是你的野蠻女友
Phobia	鬼4虐
Din Tao: Leader of the Parade	陣頭
Viva Baseball	球來就打
Kung Fu Panda	功夫熊貓
Campus Mystery	筆仙魔咒
Everything Must Go	拍賣人生
The Sweet Smile	雷鋒的微笑
The Time Traveler's Wife	時空旅人之妻
Walk of Shame	姐姐我醉大
Street Kings	正義悍將
Days We Stared at the Sun	他們在畢業的前一天爆炸
Free the Nipple	Lady's 尖頭們
Alibaba 2 solomon seal	阿里巴巴2所羅門封印
Tiger House	顫慄屋
Viking	維京傳說:寒冰交鋒
The Boy	託陰
The 33	33:重生奇蹟
Black Butler - Book of the Atlantic	黑執事劇場版
The New Girlfriend	女朋友的女朋友
Damage	烈火情人
Noah	挪亞方舟
The Big Gay Musical	超級同志音樂會
Zookeeper	全民情獸
How to Train Your Dragon 2	馴龍高手2
Beastly	野獸情人
Relationship Dilemma	分手不分手
Justice League	正義聯盟
Everlasting Moments	靈魂的旅程
Mr. & Mrs. Single	戰國
The Left Ear	左耳
The Deaths of Ian Stone	獵殺死神
Chinese Horrostory	靈臆事件
Son of Stars	星星的孩子
Cosmopolis	夢遊大都會
Daughter	上身
When Love Comes	當愛來的時候
Black Mass	黑勢力
The collection	蒐屍魔
The Complex	黑百合公寓
The Violin	小提琴革命曲
Pieta	聖殤
Xin Zhou	心咒
Kara-Orchestra	很久沒有敬我了妳
See You Tomorrow	擺渡人
Spring Fever	春風沉醉的夜晚
Milk	自由大道
Keeper of Darkness	陀地大法師
Bang! Bang! Formosa	寶島大爆走
Synecdoche, New York	紐約浮世繪
Shadow	獄中驚魂
Nobody Else But You	夢露謎情
Daddy's Home 2	家有兩個爸2
My Awkward Sexual Adventure	我的性愛六堂課
The Sinking City	西謊極落
Pawn Sacrifice	出棋制勝
Fame	名揚四海
Cheers from Heaven	來自天國的喝采
Colic	卡到
TaichiⅡ	太極2英雄崛起
Monkey King: Hero is Back	西遊記之大聖歸來
The Cosplayers	百萬愛情寶貝
Miss Peregrine's Home for Peculiar Children	怪奇孤兒院
Assassin's Creed	刺客教條
