哈啦十誡	The Ten
同志驕傲大遊行	Pride 
天才的禮物	Gifted
下一秒就是你	You're Next 
G片初體驗	Humpday
亞當不好當	Adam
天才柏金斯	Genius
八	The Hateful Eight 
最後的願望	One Last Thing...
燃情狂愛	Modigliani 
肉食女之戀	Trainwreck
愛情決勝點	Match Point
安妮	Annie
健保真要命	Sicko
完美情狼	The Perfect Guy 
尋找快樂的15種方法	Hector and the search for happiness
玩火	Derailed
可可夜總會	Coco
八月三十一日,我在奧斯陸	Oslo, 31. august 
寫真女王	The Notorious Bettie Page
狙擊生死線	Shooter
情規喬治亞	Georgia Rule
教父啟示錄	Black Souls
愛狗男人請來電	Must Love Dogs
鼠來寶	Alvin and the Chipmunks
福爾摩斯先生	Mr. Holmes 
白雪新鮮人	Sydney White
風雲男人幫	Gangster Squad 
食破天驚2	Cloudy With a Chance of Meatballs 2
幸福雙贏	Win Win
神鬼傳奇3	The Mummy: Tomb of the Dragon Emperor
澄澈的一天	On a Clear Day
德州棄屍現場	Texas Killing Fields
職場爭霸戰	The Promotion
性本惡	Inherent Vice 
環太平洋2	Pacific Rim: Uprising 
即刻獵殺	The Grey
鷹眼	Eagle Eye
內布拉斯加	Nebraska
海狸先生	The Beaver
野蠻任務	The Wild
狗狗旅館	Hotel for Dogs
40處男	The 40-Year-Old Virgin
雜交有益身心	A Good Old Fashioned Orgy
給雅各神父的信	Letters to Father Jacob
惱爸偏頭痛	Why Him?
八月錢潮	August
戰爭機器	War Machine 
最後大法師2	The Last Exorcism Part II
二十四笑	Cheaper by the Dozen 2
那年陽光燦爛	Machuca
浪蕩世代	On the Road
幽浮檔案	Dark Skies
樂高玩電影	The LEGO Movie 
寶島雙雄	Double Trouble
莫斯科2017	Branded
忠犬追殺令	White God
末日	The World's End
出棋制勝	Pawn Sacrifice 
蜘蛛人:驚奇再起	The Amazing Spider-Man
碟仙	Ouija
黎巴嫩情人	Yes 
雲圖	Cloud Atlas
美國心風暴	American Pastoral
惡靈古堡4	Resident Evil: Afterlife
慕尼黑	Munich
得兔	Peter Rabbit
憤怒鳥	Angry Birds
薄暮之光	Lights in the Dusk 
異底洞	The Cave
舞力全開3D	Step Up 3D
不給糖就殺人	Trick 'r Treat 
進擊的大佬	Grudge Match
移動迷宮3	Maze Runner: The Death Cure
哈姆雷特2	Hamlet 2
毒鑰	The Skeleton Key
哈啦美髮師	Beauty Shop 
玩命撞擊	Collide
在屋頂上流浪	Mister Foe 
絞刑台	The Gallows 
第四類接觸	The Fourth Kind
犬之島	Isle of Dogs
世界Battle	Battle of the Year
永生樹	The Tree of Life
友情電力公司	Duck Season
小鬼上路	Are We There Yet?
好漢不死	What Doesn't Kill You
聖誕夜怪譚	Disney's A Christmas Carol 
毛骨悚然3	Jeepers Creepers 3: Cathedral
金剛戰士	Power Rangers
不可能的任務3	Mission: Impossible 3
芭蕾奇緣	Ballerina
腥聞	The Hunting Party
敗者為王	The Losers
放下屠刀	A Guide to Recognizing Your Saints
宿主	The Host
推倒白宮的男人	Mark Felt: The Man Who Brought Down the White House
搖滾未來	Bandslam
私人採購	Personal Shopper 
安隆風暴	Enron: The Smartest Guys in the Room
永不屈服	Unbroken
鐵男橄欖球	The Longest Yard
控制遊戲	Return to Sender
真相何在	Where the Truth Lies
小鬼大間諜4	Spy Kids: All the Time in the World
13小時	13 Hours: The Secret Soldiers of Benghazi 
超世紀封神榜2	Wrath of the Titans
特殊身份	Special ID
顫慄黑影2	The Woman in Black: Angel of Death 
青蜂俠	The Green Hornet
窒命寫真	Captivity
超級賣場	Cashback
冰公主	Ice Princess
巴黎愛情故事	Paris
移動迷宮2:焦土試煉	The Maze Runner: The Scorch Trials 
黑紀元	The Dark Is Rising
我要為你呼吸	Breathe
惡靈古堡6	Resident Evil: The Final Chapter
愛在瘟疫蔓延時	Love in the Time of Cholera
活見鬼	活見鬼
攻其不備	The Blind Side
奇蹟男孩	Wonder 
剪刀邊緣	Running With Scissors
金錢怪獸	Money Monster
大學生殺了沒	Tucker & Dale vs. Evil
紐約我愛你	New York, I Love You
搖滾青春夢	The Rocker
蒐藏人	The Collector
搖滾青春戀習曲	Sing Street 
歌舞青春3	High School Musical 3: Senior Year
過於寂靜的喧囂	The Tribe
決勝21點	21
阿拉斯加之死	Into the Wild 
飛機總動員	Planes
飢餓遊戲2	The Hunger Games: Catching Fire 
紅雀	Red Sparrow
下流刑警	Filth
空中救援	Non-Stop 
愛謎藏	Little White Lies 
金牌拳手	Creed
暴雪二夜情	Two Night Stand 
名揚四海	Fame
明天也要作伴	Standing Still
絕美之城	The Great Beauty
豬頭漢堡飽3D	A Very Harold & Kumar Christmas 
玩命快遞2	Transporter 2
火線保鑣	Shoot 'Em Up
要錢不要命	Get Rich or Die Tryin'
神鬼無間	The Departed
孟漢娜電影版	Hannah Montana The Movie
狼人鎮	Wolves
俄亥俄的哦	The Oh in Ohio
溫徹斯特鬼屋	Winchester 
拼出新世界	Akeelah and the Bee
世界是平的	Outsourced
功夫熊貓2	Kung Fu Panda 2
黑天鵝	Black Swan
誘惑醫生100招	The Grand Seduction
福爾摩斯2	Sherlock Holmes 2
史瑞克三世	Shrek the Third
東方聯盟	The East
恐佈蠟像館	House of Wax
巴黎自由行	Simon Killer 
邁阿密瘋雲	Reno 911!: Miami
鬼寓143	Apartment 143 
針孔旅社	Vacancy
公主與狩獵者	Snow White and the Huntsman
婆家就是你家	The Family Stone 
獵人遊戲	Eden Lake
風暴過後	Into the Fire 
巫氣逼人	The Witch 
衝擊效應	Crash
羊男的冰島冒險	Rams
冰原歷險記5	Ice Age: Collision Course 
夏日之王	The Kings of Summer
忍者龜	Ninja Turtles
南方野獸樂園	Beasts of the Southern Wild
女王陛下	The Queen
神奇馬拉松	Saint Ralph
聖誕	Fred Claus
溫心港灣	Le Havre
孟漢娜3D演唱會	Hannah Montana & Miley Cyrus: Best of Both Worlds Concert Tour
星際過客	Passengers
極速秒殺	The Mechanic
雷神索爾3	Thor: Ragnarok 
A片特攻隊	The Amateurs
極樂世界	Elysium
國家寶藏2	National Treasure 2
1408	1408
五星級謀殺	Bobby
玩具總動員3	Toy Story 3
家有兩個爸2	Daddy's Home 2
心碎天堂	Imaginary Heroes
捍衛聯盟	Rise of the Guardians 
X戰警:未來昔日	X戰警: 未來昔日
槍響前決定愛不愛你	Slow West 
夥伴	The Company You Keep 
畢業舞會	Prom
王者之劍3D	Conan the Barbarian
東尼瀧谷	Tony Takitani 
快樂腳2	Happy Feet Two
以你的名字呼喚我	Call Me by Your Name 
活個痛快	50/50
1911辛亥革命	1911
草地上的男人	Daltry Calhoun
我唾棄你的墳墓	I Spit on Your Grave 
美麗新故鄉	The Beautiful Country
未來小子	Meet the Robinsons
朱比特崛起	Jupiter Ascending 
我記得	Remember
末日預言	Knowing
頭號男孩	Boy A
0501斬首密令	Zero Dark Thirty 
絕命賭局	Cheap Thrills
魔鬼剋星	Ghostbusters
待續	An Unfinished Life 
歌喉讚2	Pitch Perfect 2 
葉問2	Ip Man 2
小芽的奇幻人生	The Odd Life of Timothy Green
大快人心	Funny Games
最美的安排	Collateral Beauty
心靈	Promised Land
